a0,a1,beta,epsilondelta
0.00931531,0.0173289,0.898736,0.0143641,0.298619
0.00931531,0.0173289,0.898736,0.0143641,0.298619
0.00931531,0.0173289,0.898736,0.0143641,0.298619
0.00931531,0.0173289,0.898736,0.0143641,0.298619
0.0132988,0.0164222,0.463952,0.0388305,0.315407
0.0132988,0.0164222,0.463952,0.0388305,0.315407
0.0132988,0.0164222,0.463952,0.0388305,0.315407
0.0132988,0.0164222,0.463952,0.0388305,0.315407
0.00981575,0.0278884,0.277435,0.0289982,0.340524
0.00472607,0.0361074,0.358715,0.0227152,0.319456
0.00542754,0.0411429,0.603713,0.0124635,0.288492
0.00542754,0.0411429,0.603713,0.0124635,0.288492
0.00542754,0.0411429,0.603713,0.0124635,0.288492
0.00542754,0.0411429,0.603713,0.0124635,0.288492
0.00542754,0.0411429,0.603713,0.0124635,0.288492
0.00542754,0.0411429,0.603713,0.0124635,0.288492
0.0074436,0.0409673,0.753469,0.0160998,0.27231
0.0074436,0.0409673,0.753469,0.0160998,0.27231
0.0074436,0.0409673,0.753469,0.0160998,0.27231
0.0074436,0.0409673,0.753469,0.0160998,0.27231
0.00708214,0.0330669,0.653913,0.025887,0.343491
0.00708214,0.0330669,0.653913,0.025887,0.343491
0.00507728,0.034891,0.451677,0.0229899,0.449971
0.0113785,0.0235425,1.04404,0.0216526,0.419545
0.0113785,0.0235425,1.04404,0.0216526,0.419545
0.00533019,0.0301678,1.13851,0.0222093,0.423963
0.00533019,0.0301678,1.13851,0.0222093,0.423963
0.00533019,0.0301678,1.13851,0.0222093,0.423963
0.00378485,0.0338157,0.600262,0.0305434,0.464529
0.00378485,0.0338157,0.600262,0.0305434,0.464529
0.00378485,0.0338157,0.600262,0.0305434,0.464529
0.00378485,0.0338157,0.600262,0.0305434,0.464529
0.00440351,0.0375648,0.728023,0.0126523,0.374373
0.00440351,0.0375648,0.728023,0.0126523,0.374373
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
0.0060469,0.0307606,1.03294,0.0115563,0.40069
