a0,a1,beta
0.0239392,0.0208405,0.399543,0.0442378
0.0239392,0.0208405,0.399543,0.0442378
0.0239392,0.0208405,0.399543,0.0442378
0.0239392,0.0208405,0.399543,0.0442378
0.0239392,0.0208405,0.399543,0.0442378
0.0103292,0.0376652,0.451965,0.04797
0.0103292,0.0376652,0.451965,0.04797
0.0103292,0.0376652,0.451965,0.04797
0.0103292,0.0376652,0.451965,0.04797
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
0.0142984,0.0539805,0.103505,0.034493
