a0,a1,beta,epsilon1,epsilon2,epsilon3
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
0.0119624,0.0311928,0.665173,0.0187524,0.0769634,0.0293321
