a0,a1,beta
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.654661,0.00626086,6.74052
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.572136,0.00658237,6.50321
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
0.353935,0.0133346,6.46843
