a0,a1,beta,tilde_beta,delta
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0462366,0.0847762,1.27161,2.38191,0.569784
0.0462366,0.0847762,1.27161,2.38191,0.569784
0.0462366,0.0847762,1.27161,2.38191,0.569784
0.0462366,0.0847762,1.27161,2.38191,0.569784
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0432848,0.0872187,1.29288,2.51182,0.434785
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
0.0533264,0.0696118,1.34799,2.15153,0.508231
